
20％の確率で攻撃後の\n硬直なしで次の攻撃を出す	20％的几率无视攻击后摇
出撃メンバーにいるだけで、\nサムライ系クラスの出撃コスト-1\n配置中、上記ユニットが死亡した\n場合、撤退として扱う	只要在编队中就会生效\n武士系的出击COST-1\n仅在配置中、武士系死亡视同撤退
自身の最大HPが20％減少\n射程+30、スキル中の範囲内の\n遠距離ユニットが敵の\n遠距離攻撃の対象にならない	自身HP减少20％、射程+30\n仅在技能持续中、自身射程内全部的\n远程单位不会成为远程敌人的攻击目标
自身が死亡または撤退した場合\n一定時間後(やや長い)に\n再出撃が可能	自身死亡视同撤退\n一定时间后（稍长）\n可以再次出击
出撃メンバーにいるだけで、\nアーチャー系、レンジャー系、\nボウライダー系クラスの\n攻撃力+10％	只要在编队中就会生效\n弓箭手、游侠、弓骑兵的攻击力+10％
自身の最大HPが20％減少\nスキル中の範囲内の\n遠距離ユニットが敵の\n遠距離攻撃の対象にならない	自身HP减少20％\n仅在技能持续中、自身射程内全部的\n远程单位不会成为远程敌人的攻击目标
出撃メンバーにいるだけで帝国\n出身の味方ユニットの\n最大HP+5％、魔法耐性+5	只要在编队中就会生效\n帝国属性单位的HP+5％\n魔法耐性+5
配置中のみ、\n竜族（ドラゴンライダー系含）の\n防御力が10％上昇	仅在配置中、全龙族（包括龙骑）\n防御上升10％
魔界でも能力が低下しない	在魔界也不会降低能力
HPが大きく上昇し\n魔界でも能力が低下しない	HP大幅上升\n在魔界也不会降低能力
出撃メンバーにいるだけで、\nヒーラー系、ダークプリースト系\nの出撃コストが2増加するが、\n攻撃力+13％	只要在编队中就会生效\n治疗师、黑暗祭司的出击COST+2\n攻击力+13％
ゴーレムに対して攻撃力1.6倍	对魔像的攻击力增加1.6倍
毒、状態異常を完全に無効化\nHPが0になっても撤退せず\n短時間でその場に復活	完全不受毒、状态异常的影响\nHP为0时也不会撤退\n会在一定时间后原地复活
自身の出撃コスト+3\n攻撃力と防御力+15％	出击COST+3\n攻击力与防御力+15％
出撃メンバーにいるだけで\n妖怪属性ユニットの出撃コスト-1\n配置中、上記ユニットが\n死亡した場合、撤退として扱う	只要在编队中就会生效\n妖怪属性的单位出击COST-1\n仅在配置中、上述单位死亡视同撤退
合成継承時にクラスを問わず\n同クラスボーナスがEXPに\n加算される\n魔界でも能力が低下しない	合成时即使不是相同职业\n也能取得同职业经验奖励\n在魔界也不会降低能力
魔法耐性+50 配置中のみ、\nエルフ(ハーフ、ダーク含)と\nドワーフの攻撃力+10％ 上記\nユニット死亡時、撤退として扱う	魔法耐性+50\n仅在配置中、妖精与矮人属性\n攻击力+10％、死亡视同撤退
攻撃力と防御力が10％上昇\n配置中のみ、全ユニットの\n出撃コスト+1	自身攻击力与防御力上升10％\n仅在配置中、全员的出击COST+1
小型のファイアエレメンタルを\n使役できる\nファイアエレメンタルはHP50％\n以下で与えるダメージアップ	可以使役小型火元素\n火元素的HP在50％以下时\n对敌人造成的伤害会增加
自分の周りの地上の敵全てを\n同時に攻撃する	对周身的地面敌人同时攻击
味方全員のHPを徐々に回復	缓慢回复我方全员的HP
出撃メンバーにいるだけで、\n全近接系ユニットの\n攻撃力+10％	只要在编队中就会生效\n全近战单位的攻击+10％
出撃メンバーにいるだけで帝国\n出身の味方ユニットの\n攻撃力、防御力+5％	只要在编队中就会生效\n帝国属性的单位\n攻击力、防御力+5％
魔界でも能力が低下しない\n出撃メンバーにいるだけで帝国\n出身の味方ユニットの\nHP、攻撃力、防御力+5％	在魔界也不会降低能力\n只要在编队中就会生效\n帝国属性的单位\nHP、攻击力、防御力+5％
40％の確率で攻撃力が\n1.6倍の強力な攻撃を出す	攻击时有40％的几率\n触发1.6倍的暴击
自身の攻撃力と防御力が\n10％減少するが\n出撃コスト-5	自身的攻击力与防御力减少10％\n出击COST-5
スキル中、帝国出身の\n味方ユニットの\n攻撃力、防御力+25％	技能时间内、帝国属性的单位\n攻击力、防御力+25％
アンデッド、デーモンに\n対しての攻撃力が1.2倍になる	对不死、恶魔的攻击力增加1.2倍
自身の最大HPが20％減少するが\n攻撃力+15％\n通常攻撃でごくまれに\n敵を一撃で倒す	自身的HP减少20％、攻击力+15％\n攻击时极低几率出现即死效果
自身の「ゴールドゲット！」の\n発動確率が増加する \nミッションクリア時の\n報酬Ｇが7％増加する	自身「取得金币！」的发动率增加\n过图结算时的金币奖励增加7％
HP、攻撃力+5％\n毒、状態異常を完全に無効化	HP、攻击力+5％\n完全不受毒、状态异常的影响
配置中のみ、重装砲兵系、\nインペリアルナイト系クラスの\n攻撃力、防御力+10％	仅在配置中、重装炮兵、帝国骑士的\n攻击力、防御力+10％
以下の効果がランダムで発動\n矢を4連射 / 防御力、魔法\n耐性無視の攻撃 / 攻撃力1.5倍 /\nごくまれに敵を一撃で倒す	攻击时以下效果随机发动\n四连射、贯通、1.5倍暴击、\n极低几率出现即死效果
スキル発動時に妖怪系の敵の\n動きを止める\n悪天候の影響を受けない	技能发动时停止妖怪系敌人的行动\n不会受到恶劣天气的负面效果
自分とそっくりなトークンを\n使役可能 トークンは出撃人数に\n含まれず1体のみ配置可能 自身と\nトークンは50％の物理回避能力	可以配置雾分身TOKEN\n不被包含于出击人数中\n场上只能同时存在一个\n自身与TOKEN有50％几率回避物理攻击
強化の対象クラスはソルジャー系、\nサムライ系、ダークファイター系、\n前衛戦術家系、ソードマスター系、\nインペリアルナイト系、王子	强化对象为：士兵、武士、\n黑暗斗士、前线战术家、\n剑豪、帝国骑士、王子
自身が死亡または撤退した場合\n一定時間後(やや長い)に再出撃が\n可能 配置中のみ、全ユニットの\n防御力+5％、魔法耐性+5	自身死亡视同撤退\n一定时间后（稍长）\n可以再次出击。仅在配置中\n全员防御力+5％、魔法耐性+5
小型のアースエレメンタルを\n使役できる アースエレメンタルは\n2体までの敵を足止めでき、\n足止めした敵全員を攻撃できる	可以使役小型土元素\n土元素可阻挡2名敌人\n攻击所有被阻挡的敌人
出撃人数に含まれない\n同名のユニットは編成に1人まで	不被包含于出击人数中\n此单位在队伍中不可复数存在
魔法耐性+10\n魔界でも能力が低下しない	魔法耐性+10\n在魔界也不会降低能力
自身の出撃コスト+3\n配置中のみ、全ユニットの\n攻撃力、防御力+5％	自身出击COST+3\n仅在配置中、我方全体的\n攻击力、防御力+5％
フィールドに配置されている\n竜人(自身を含む)1ユニットにつき\n自身の攻撃と防御が5％アップ\n10ユニットまで加算される	根据场上存在的龙人属性单位的数量\n增加自身的攻防、最大叠加十次\n每个增加自身攻击力、防御力5％\n(自身也包含在总数内)
小型のエアーエレメンタルを\n使役できる エアーエレメンタルは\n敵を足止めせず、範囲内の敵に移動\n速度60％減少効果と攻撃を行う	可以使役小型风元素\n风元素不会阻挡敌人\n攻击周身所有敌人并造成60％的减速
デーモン、オーク、エンジェルに\n対しての攻撃力が1.2倍になる	对恶魔、兽人、天使的攻击力增加1.2倍
以下の効果がランダムで発動\n3連射 /防御力、魔法耐性\n無視の攻撃 / 攻撃力3倍 /\nごくまれに敵を一撃で倒す	攻击时以下效果随机发动\n三连射、贯通、3倍暴击、\n低几率出现即死效果
自身の出撃コスト+1 攻撃力と\n防御力+10％、魔法耐性+10\n配置中、帝国出身ユニットが\n死亡した場合、撤退として扱う	自身的出击COST+1、攻击力、防御力+10％\n魔法耐性+10、仅在配置中、\n帝国属性的单位死亡视同撤退
デーモンに対しての\n攻撃力が1.4倍、\n妖怪に対しての\n攻撃力が1.3倍になる	对恶魔的攻击力增加1.4倍\n对妖怪的攻击力增加1.3倍
出撃メンバーにいるだけで\n妖怪属性ユニットの出撃コスト-2\n配置中、上記ユニットが\n死亡した場合、撤退として扱う	只要在编队中就会生效\n妖怪属性的单位出击COST-2\n仅在配置中、上述单位死亡视同撤退
出撃メンバーにいるだけで\n妖怪属性ユニットの\nHP、攻撃力、防御力+5％	只要在编队中就会生效\n妖怪属性的单位\nHP、攻击力、防御力+5％
小型のダークエレメンタルを\n使役できる ダークエレメンタルは\n防御力と魔法耐性を無視する\n遠距離範囲攻撃を行う	可以使役小型暗元素\n暗元素会进行无视防御力\n与魔法耐性的远程范围攻击
自身のHPが20％減少するが\n攻撃力+10％\n魔界でも能力が低下しない	自身的HP减少20％、攻击力+10％\n在魔界也不会降低能力
自身のHPが15％減少するが\n攻撃力+20％\n魔界でも能力が低下しない	自身的HP减少15％、攻击力+20％\n在魔界也不会降低能力
防御力+10％、魔法耐性+10	防御力+10％、魔法耐性+10
防御力+5％、魔法耐性+5\n配置中のみ、全ユニットの\n防御力+5％、魔法耐性+5	防御力+5％、魔法耐性+5\n仅在配置中\n全员防御力+5％、魔法耐性+5
強化の対象は\n男性の全近接系ユニット\n(トークン含まず）	强化对象为：近战男性单位\n(不包含TOKEN）
自身の攻撃発生までの時間を少し\n短縮 出撃メンバーにいるだけで\nアーチャー系、ヴァンパイアハン\nター系、レンジャー系の射程+10	自身攻击等待时间小幅短缩\n只要在编队中就会生效\n弓箭手、吸血鬼猎人、游侠的射程+10
自身の攻撃発生までの時間を少し\n短縮 出撃メンバーにいるだけで\nパイレーツ系、砲術士系、\nマーチャント系の射程+10	自身攻击等待时间小幅短缩\n只要在编队中就会生效\n海贼、炮术士、商人的射程+10
HPが大きく上昇する\n1％の確率で攻撃力が\n23.9倍の攻撃を出す	HP大幅上升\n攻击时有1％的几率\n触发23.9倍的暴击
ファイアエレメンタルを使役\nできる ファイアエレメンタルは\nHP50％以下で与えるダメージ\nアップ 自身の攻撃力+10％	可以使役火元素\n火元素的HP在50％以下时\n对敌人造成的伤害会增加\n自身的攻击力+10％
3体までの敵を足止めでき、\n足止めした敵全員を攻撃する\nアースエレメンタルを使役できる\n自身の防御力+10％	可以使役土元素\n土元素可阻挡3名敌人\n攻击所有被阻挡的敌人\n自身的防御力+10％
敵を足止めせず、範囲内の敵に\n移動速度60％減少効果と攻撃を\n行うエアーエレメンタルを使役\nできる トークンの射程+10	可以使役风元素\n风元素不会阻挡敌人\n攻击周身所有敌人并造成60％的减速\n风元素的射程+10
防御力と魔法耐性を無視する\n遠距離範囲攻撃を行うダーク\nエレメンタルを使役できる\n自身の射程+15	可以使役暗元素\n暗元素会进行无视防御力\n与魔法耐性的远程范围攻击\n自身的射程+15
出撃メンバーにいるだけで\n巨人族のHPを10％、攻撃力を\n20％減少させる	只要在编队中就会生效\n巨人族敌人的HP减少10％\n攻击力减少20％
自身の攻撃力+10％\n配置中のみ、全遠距離系ユニット\nの攻撃力+10％	自身的攻击力+10％\n仅在配置中\n全远程单位的攻击力+10％
20％の確率で攻撃力が\n1.5倍の攻撃を出す\nスキル中は100％発動	攻击时有20％的几率\n触发1.5倍的暴击\n技能中必定触发
出撃メンバーにいるだけで\n神官戦士系、ヒーラー系、\n風水使い系、ダーク\nプリースト系の射程+10	只要在编队中就会生效\n神官战士、治疗师、风水使、\n黑暗祭司的射程+10
防御力が上昇する\n魔界でも能力が低下しない	防御力上升\n在魔界也不会降低能力
30％の確率で敵の攻撃を\n完全に無効化する\n出撃メンバーにいるだけで\n全ユニットの魔法耐性+5	30％的几率完全无效化敌人的攻击\n只要在编队中就会生效\n全员的魔法耐性+5
敵をブロックすると攻撃力+20％	阻挡敌方时攻击力+20％
範囲内の敵に攻撃力に比例した\n防御力、魔法耐性無視の継続\nダメージを与えるトークンを\n使役可能	可以配置对范围内全体敌人\n造成无视防御与魔法耐性\n的持续伤害的TOKEN
攻撃発生までの時間を\n常に少し短縮する\nパルス出身ユニットのHPが\n徐々に回復（常時）	攻击等待时间小幅短缩\n缓慢回复帕尔斯属性单位的HP
小型のウォーターエレメンタルを\n使役できる ウォーターエレメン\nタルは範囲内の敵３体を攻撃	可以使役小型水元素\n水元素可对范围内最大3名敌人\n同时进行无视防御力的攻击
ウォーターエレメンタルを\n使役できる ウォーターエレメン\nタルは範囲内の敵３体を攻撃\n自身のスキルの効果時間+15％	可以使役水元素\n水元素可对范围内最大3名敌人\n同时进行无视防御力的攻击\n自身的技能持续时间+15％
出撃メンバーにいるだけで\nパルス出身ユニットの\n攻撃力、防御力+5％	只要在编队中就会生效\n帕尔斯属性单位的\n攻击力、防御力+5％
自身の防御力が25％減少するが\n出撃コスト-3	自身的防御力减少25％\n出击COST-3
出撃メンバーにいるだけで\nレアリティブロンズ、アイアンの\n最大HP、防御力+20％	只要在编队中就会生效\n铁、铜稀有度的单位\nHP、防御+20％
HP90％以下で\n与えるダメージアップ\nHP50％以下で最大1.5倍まで上昇	HP在90％以下时提升攻击力\nHP达到50％以下时攻击力提升\n效果最大化（最高1.5倍）
出撃メンバーにいるだけで\nレアリティブロンズ、アイアンの\n最大HP、防御力+15％	只要在编队中就会生效\n铁、铜稀有度的单位\nHP、防御+15％
サヨ覚醒アビリティ
20％の確率で\n防御力と魔法耐性を無視\n20％の確率で攻撃力が1.9倍	攻击时有20％的几率触发\n无视防御和魔法耐性的贯通效果\n攻击时有20％的几率\n触发1.9倍的暴击
サヨアビリティ
出撃人数に含まれない\n同名のユニットは編成に1人まで\n防御無視攻撃のトークンを使役\nトークンは1体のみ配置可能	不被包含于出击人数中\n此单位在队伍中不可复数存在\n可以配置魔法攻击的近战TOKEN\n场上只能同时存在一个
射程+30\n20％の確率で攻撃力が1.9倍	射程+30\n攻击时有20％的几率\n触发1.9倍的暴击
